Game Number	Video Link	Winner	Map Name	Players, Roles and Tasks	Players, Roles and Tasks
32	https://www.youtube.com/watch?v=ZqFy4Je4X8w&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=338s	Imposter	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,Apex - Crewmate,Jarvis - Crewmate,Kay - Imposter	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Imposter Harry - Crewmate JJ - Crewmate Apex - Crewmate Jarvis - Crewmate Kay - Imposter
33	https://www.youtube.com/watch?v=ZqFy4Je4X8w&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=541s	Crewmate	The Skeld	Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Crewmate,Apex - Crewmate,Jarvis - Crewmate,Kay - Crewmate	Simon - Crewmate Josh - Imposter Vik - Crewmate Tobi - Crewmate Ethan - Crewmate Harry - Imposter JJ - Crewmate Apex - Crewmate Jarvis - Crewmate Kay - Crewmate
34	https://www.youtube.com/watch?v=ZqFy4Je4X8w&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=791s	Crewmate	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Apex - Crewmate,Jarvis - Imposter,Kay - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Crewmate Harry - Crewmate JJ - Imposter Apex - Crewmate Jarvis - Imposter Kay - Crewmate
35	https://www.youtube.com/watch?v=22-67cbKCUU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=15	Imposter	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Randolph - Crewmate,Calfreezy - Crewmate,Callux - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Imposter Ethan - Crewmate Harry - Crewmate JJ - Imposter Randolph - Crewmate Calfreezy - Crewmate Callux - Crewmate
36	https://www.youtube.com/watch?v=22-67cbKCUU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=363s	Imposter	The Skeld	Simon - Imposter,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Randolph - Crewmate,Calfreezy - Crewmate,Callux - Crewmate	Simon - Imposter Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Crewmate Harry - Crewmate JJ - Imposter Randolph - Crewmate Calfreezy - Crewmate Callux - Crewmate
37	https://www.youtube.com/watch?v=hJ2zT1laqys&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=16	Imposter	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Crewmate,Randolph - Imposter,Calfreezy - Crewmate,Callux - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Crewmate Harry - Imposter JJ - Crewmate Randolph - Imposter Calfreezy - Crewmate Callux - Crewmate
38	https://www.youtube.com/watch?v=hJ2zT1laqys&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=383s	Crewmate	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Imposter,Randolph - Crewmate,Calfreezy - Crewmate,Callux - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Imposter Harry - Crewmate JJ - Imposter Randolph - Crewmate Calfreezy - Crewmate Callux - Crewmate
39	https://www.youtube.com/watch?v=ObBlVjyOFKk&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=17	Imposter	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,Calfreezy - Imposter,Callux - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Imposter Harry - Crewmate JJ - Crewmate Randolph - Crewmate Calfreezy - Imposter Callux - Crewmate
40	https://www.youtube.com/watch?v=ObBlVjyOFKk&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=565s	Crewmate	The Skeld	Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,Calfreezy - Imposter,Callux - Crewmate	Simon - Crewmate Josh - Imposter Vik - Crewmate Tobi - Crewmate Ethan - Crewmate Harry - Crewmate JJ - Crewmate Randolph - Crewmate Calfreezy - Imposter Callux - Crewmate
41	https://www.youtube.com/watch?v=pJpl1dw0yA0&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=18	Crewmate	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,TommyInnit - Imposter,Tubbo - Crewmate,Wilbur - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Crewmate Harry - Crewmate JJ - Imposter TommyInnit - Imposter Tubbo - Crewmate Wilbur - Crewmate
